,Samuel L. Jackson,Morgan Freeman,Bruce Willis,Robert De Niro,Matt Damon,Owen Wilson,Johnny Depp,Liam Neeson,Brad Pitt,Nicolas Cage,Stanley Tucci,Frank Welker,George Clooney,Cate Blanchett,Editor,Producer,crew_num,cast_num,Steven Spielberg,Clint Eastwood,Ridley Scott,Robert Zemeckis,Martin Scorsese,Tim Burton,Michael Bay,Renny Harlin,Robert Rodriguez,Steven Soderbergh,budget,Drama,Action,Comedy,Thriller,Adventure,genres_num,duringcreditsstinger,based on novel,aftercreditsstinger,dystopia,3d,violence,woman director,murder,original_en,Warner Bros.,Universal Pictures,Paramount Pictures,Twentieth Century Fox Film Corporation,Columbia Pictures,New Line Cinema,Relativity Media,Walt Disney Pictures,com_num,United States of America,United Kingdom,Germany,France,Canada,Australia,runtime,English,Français,month
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,107,98,0,0,0,0,0,0,0,0,0,0,190,0,1,0,0,1,3,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,132.0,1,0,5
48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,43,23,0,0,0,0,0,0,0,0,0,0,195,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,6,1,0,0,0,0,0,114.0,1,0,2
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,31,0,0,0,0,0,0,0,0,0,0,105,1,0,0,0,0,2,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,6,1,0,0,0,0,1,143.0,1,0,5
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,46,13,0,0,0,0,0,0,0,0,0,0,150,0,1,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,116.0,1,0,5
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,27,43,0,0,0,0,0,0,0,0,0,0,180,0,1,0,0,1,3,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,4,1,0,0,0,1,0,131.0,1,0,7
52,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5,29,39,0,0,0,0,0,0,1,0,0,0,195,0,1,0,0,1,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,154.0,1,0,6
53,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,14,38,1,0,0,0,0,0,0,0,0,0,185,0,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,122.0,1,0,5
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,19,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,93.0,1,0,11
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,15,0,0,0,0,0,0,0,0,0,0,185,0,1,1,0,1,6,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,93.0,1,0,6
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,108,33,0,0,0,0,0,0,0,0,0,0,185,0,1,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,7,1,0,0,0,0,0,122.0,1,0,7
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,52,29,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,98.0,1,0,6
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,18,18,0,0,0,0,0,0,0,0,0,0,140,0,1,1,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,91.0,1,1,8
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,115,52,0,0,0,0,0,0,0,0,0,0,200,0,1,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,1,0,0,0,1,0,158.0,1,1,10
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,0,0,0,1,0,0,0,0,0,0,200,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,96.0,1,0,11
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,103,66,0,0,0,0,0,0,0,0,0,0,176,0,1,0,0,1,4,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,124.0,1,0,2
62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,34,0,0,0,0,0,0,0,0,0,0,180,0,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,1,0,0,1,0,109.0,1,0,6
63,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,6,29,24,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,143.0,1,0,12
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,96,95,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6,1,0,0,0,0,0,144.0,1,0,5
65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,81,134,0,0,0,0,0,0,0,0,0,0,185,1,1,0,1,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,1,1,0,0,0,0,152.0,1,0,7
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,91,16,0,0,0,0,0,0,0,0,0,0,175,0,0,1,0,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,96.0,1,0,5
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,28,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,94.0,1,0,3
68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,21,87,0,0,0,0,0,0,0,0,0,0,140,0,1,0,0,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,126.0,1,0,4
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,77,28,0,0,0,0,1,0,0,0,0,0,170,1,0,0,0,1,3,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,3,1,1,0,1,0,0,126.0,1,0,11
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,12,29,0,0,0,0,0,0,0,0,0,0,170,0,1,1,0,1,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,106.0,1,0,6
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,15,0,0,0,0,0,0,0,0,0,0,145,0,1,0,0,1,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,5,1,0,1,0,0,0,112.0,1,0,7
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,104,128,0,0,0,0,0,0,0,0,0,0,175,0,1,0,0,1,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,123.0,1,0,8
73,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,27,18,0,0,0,0,0,0,0,0,0,0,175,0,0,1,0,0,3,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,7,1,0,0,0,0,0,96.0,1,0,6
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,111,40,0,0,0,0,0,0,0,0,0,0,178,0,1,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,6,1,0,0,0,0,1,113.0,1,0,5
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,57,15,0,0,0,0,0,0,0,0,0,0,175,0,1,0,0,1,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,135.0,1,0,7
